Jun 17 2020 at 20:26:43
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.06	-65.72	75.65	0.00	0.0730	13.44	591.2	306.33	0.0182	107.0	1.925	2.44	-15.48	1.43
	1.05	-65.72	75.67	0.00	0.0730	13.44	591.5	306.36	0.0179	107.0	1.926	2.44	-15.48	1.43
	2.05	-65.26	75.65	0.00	0.0729	13.44	591.6	307.20	0.0181	106.8	1.923	2.44	-15.48	1.43
	3.05	-65.72	75.65	0.00	0.0730	13.45	591.7	306.59	0.0181	107.1	1.927	2.44	-15.47	1.44
	4.05	-65.26	75.67	0.00	0.0729	13.45	591.7	307.14	0.0180	107.4	1.932	2.45	-15.41	1.43
	5.05	-65.72	75.67	0.00	0.0729	13.44	591.6	306.40	0.0182	107.3	1.932	2.45	-15.45	1.43
	6.05	-65.72	75.65	0.00	0.0731	13.45	591.8	306.62	0.0180	107.3	1.932	2.45	-15.44	1.43
	7.05	-65.72	75.67	0.00	0.0729	13.45	591.6	306.42	0.0181	107.2	1.930	2.44	-15.46	1.43
	8.05	-65.72	75.67	0.00	0.0729	13.45	591.7	306.49	0.0181	107.4	1.933	2.45	-15.44	1.44
	9.12	-65.72	75.65	0.00	0.0730	13.45	591.9	306.69	0.0182	107.5	1.935	2.45	-15.43	1.44
	10.05	-65.72	75.62	0.00	0.0731	13.45	591.9	306.79	0.0182	107.5	1.936	2.45	-15.42	1.43
	11.06	-65.72	75.67	0.00	0.0731	13.45	591.9	306.59	0.0180	107.6	1.936	2.45	-15.42	1.43
	12.05	-65.72	75.62	0.00	0.0729	13.45	591.9	306.79	0.0182	107.8	1.940	2.46	-15.40	1.43
	13.06	-65.72	75.70	0.00	0.0731	13.45	591.9	306.46	0.0183	107.5	1.935	2.45	-15.42	1.43
	14.05	-65.72	75.67	0.00	0.0730	13.46	592.1	306.71	0.0181	107.5	1.936	2.45	-15.42	1.44
	15.06	-65.72	75.67	0.00	0.0730	13.45	592.0	306.64	0.0182	107.4	1.934	2.45	-15.43	1.44
	16.05	-65.72	75.67	0.00	0.0730	13.45	592.0	306.64	0.0183	107.8	1.940	2.46	-15.39	1.43
	17.06	-65.26	75.67	0.00	0.0730	13.46	592.2	307.44	0.0183	107.7	1.939	2.46	-15.37	1.43
	18.05	-64.82	75.67	0.00	0.0732	13.46	592.3	308.11	0.0182	107.9	1.943	2.47	-15.33	1.43
	19.06	-66.19	75.65	0.00	0.0730	13.46	592.3	306.20	0.0181	107.6	1.936	2.45	-15.44	1.43
	20.05	-65.72	75.67	0.00	0.0729	13.47	592.5	306.91	0.0181	107.8	1.941	2.46	-15.39	1.43
	21.06	-65.72	75.67	0.00	0.0730	13.46	592.3	306.77	0.0183	107.7	1.939	2.45	-15.40	1.44
	22.12	-65.72	75.62	0.00	0.0732	13.47	592.5	307.12	0.0182	108.0	1.945	2.46	-15.37	1.43
	23.05	-65.72	75.67	0.00	0.0732	13.47	592.5	306.90	0.0181	107.8	1.941	2.46	-15.39	1.43
	24.12	-65.72	75.65	0.00	0.0731	13.47	592.6	307.07	0.0180	107.9	1.942	2.46	-15.38	1.43
	25.05	-65.72	75.65	0.00	0.0731	13.47	592.7	307.09	0.0182	107.8	1.941	2.46	-15.39	1.43
	26.12	-65.72	75.65	0.00	0.0730	13.48	593.3	307.40	0.0181	107.9	1.942	2.46	-15.38	1.44
	27.05	-65.26	75.65	0.00	0.0730	13.49	593.6	308.26	0.0182	107.9	1.942	2.47	-15.35	1.44
	28.06	-65.26	75.67	0.00	0.0732	13.48	593.2	307.92	0.0182	108.1	1.946	2.47	-15.33	1.43
	29.05	-65.71	75.70	0.00	0.0730	13.48	593.0	307.06	0.0183	108.1	1.946	2.46	-15.36	1.43
	30.06	-65.72	75.67	0.00	0.0732	13.50	593.9	307.61	0.0183	107.9	1.943	2.46	-15.38	1.43
	31.05	-65.72	75.65	0.00	0.0732	13.50	593.9	307.71	0.0183	107.9	1.942	2.46	-15.38	1.43
	32.06	-65.72	75.67	0.00	0.0732	13.53	595.2	308.27	0.0182	108.1	1.945	2.46	-15.36	1.43
	33.05	-66.19	75.67	0.00	0.0734	13.55	596.1	308.04	0.0183	108.0	1.945	2.46	-15.39	1.43
	34.06	-65.72	75.67	0.00	0.0738	13.75	604.9	313.33	0.0182	108.1	1.946	2.46	-15.35	1.43
	35.05	-65.72	75.67	0.00	0.0737	13.65	600.6	311.07	0.0183	108.0	1.945	2.46	-15.36	1.43
	36.06	-65.72	75.67	0.00	0.0741	13.73	603.9	312.82	0.0183	108.0	1.944	2.46	-15.37	1.43
	37.05	-65.72	75.65	0.00	0.0741	13.73	604.0	312.98	0.0183	108.2	1.947	2.47	-15.35	1.43
	38.06	-65.72	75.65	0.00	0.0743	13.73	604.0	312.96	0.0182	108.2	1.948	2.47	-15.35	1.43
	39.12	-65.72	75.67	0.00	0.0744	13.75	604.9	313.30	0.0182	108.3	1.950	2.47	-15.33	1.43
	40.06	-65.72	75.65	0.00	0.0746	13.81	607.5	314.77	0.0182	108.4	1.951	2.47	-15.32	1.43
	41.05	-65.72	75.65	0.00	0.0744	13.79	606.8	314.40	0.0183	108.4	1.951	2.47	-15.33	1.43
	42.05	-65.25	75.67	0.00	0.0744	13.82	608.0	315.65	0.0183	108.2	1.948	2.47	-15.32	1.43
	43.12	-65.72	75.65	0.00	0.0744	13.82	608.2	315.13	0.0183	108.2	1.947	2.47	-15.35	1.43
	44.05	-65.72	75.65	0.00	0.0747	13.86	609.6	315.89	0.0182	108.3	1.949	2.47	-15.34	1.43
	45.06	-65.72	75.67	0.00	0.0750	14.02	616.9	319.51	0.0183	108.7	1.956	2.48	-15.29	1.43
	46.05	-65.72	75.65	0.00	0.0748	13.85	609.4	315.77	0.0183	108.5	1.953	2.47	-15.31	1.43
